number,value,datetime_start,datetime_complete,duration,params_lr,params_optimizer,state
0,0.555,2023-12-04 03:21:32.145501,2023-12-04 03:27:35.029698,0 days 00:06:02.884197,0.00016602745523691516,RMSprop,COMPLETE
1,0.5,2023-12-04 03:27:35.030698,2023-12-04 03:33:28.602887,0 days 00:05:53.572189,0.0005354871262185041,SGD,COMPLETE
2,0.575,2023-12-04 03:33:28.602887,2023-12-04 03:39:24.915855,0 days 00:05:56.312968,2.4190582280214717e-05,Adam,COMPLETE
3,0.57,2023-12-04 03:39:24.916854,2023-12-04 03:45:19.795829,0 days 00:05:54.878975,0.00032276739950331813,RMSprop,COMPLETE
4,0.5,2023-12-04 03:45:19.796828,2023-12-04 03:51:11.775194,0 days 00:05:51.978366,4.642275136757481e-05,SGD,COMPLETE
5,0.565,2023-12-04 03:51:11.776193,2023-12-04 03:57:08.691804,0 days 00:05:56.915611,0.00018114697664245338,Adam,COMPLETE
6,0.5,2023-12-04 03:57:08.692804,2023-12-04 03:57:37.242082,0 days 00:00:28.549278,0.0482767843695775,Adam,PRUNED
7,0.54,2023-12-04 03:57:37.243081,2023-12-04 04:03:33.204909,0 days 00:05:55.961828,0.00014301735350539545,Adam,COMPLETE
8,0.5,2023-12-04 04:03:33.204909,2023-12-04 04:04:01.348527,0 days 00:00:28.143618,0.05263298709649155,SGD,PRUNED
9,0.5,2023-12-04 04:04:01.348527,2023-12-04 04:04:29.947046,0 days 00:00:28.598519,1.0857581043168277e-05,SGD,PRUNED
10,0.5,2023-12-04 04:04:29.947046,2023-12-04 04:05:05.624498,0 days 00:00:35.677452,0.0030144488374625957,Adam,PRUNED
11,0.515,2023-12-04 04:05:05.624498,2023-12-04 04:05:41.339233,0 days 00:00:35.714735,1.3842860040773277e-05,RMSprop,PRUNED
12,0.5,2023-12-04 04:05:41.340232,2023-12-04 04:06:10.163028,0 days 00:00:28.822796,0.001594957165586714,RMSprop,PRUNED
13,0.57,2023-12-04 04:06:10.164027,2023-12-04 04:12:03.956003,0 days 00:05:53.791976,3.710782015888227e-05,RMSprop,COMPLETE
14,0.5,2023-12-04 04:12:03.957002,2023-12-04 04:12:32.711111,0 days 00:00:28.754109,0.00048809854009978224,Adam,PRUNED
15,0.575,2023-12-04 04:12:32.712110,2023-12-04 04:18:27.029222,0 days 00:05:54.317112,4.925953027229389e-05,RMSprop,COMPLETE
16,0.585,2023-12-04 04:18:27.030225,2023-12-04 04:24:21.681736,0 days 00:05:54.651511,4.527442953443907e-05,RMSprop,COMPLETE
17,0.5,2023-12-04 04:24:21.682736,2023-12-04 04:24:43.108525,0 days 00:00:21.425789,2.188415738337799e-05,Adam,PRUNED
18,0.575,2023-12-04 04:24:43.108525,2023-12-04 04:30:38.838850,0 days 00:05:55.730325,8.060872200149109e-05,Adam,COMPLETE
19,0.5,2023-12-04 04:30:38.838850,2023-12-04 04:31:00.382113,0 days 00:00:21.543263,1.0987788648506809e-05,RMSprop,PRUNED
20,0.505,2023-12-04 04:31:00.382113,2023-12-04 04:31:21.910625,0 days 00:00:21.528512,3.527219495404264e-05,RMSprop,PRUNED
21,0.605,2023-12-04 04:31:21.911625,2023-12-04 04:37:16.047437,0 days 00:05:54.135812,6.944595708700013e-05,RMSprop,COMPLETE
22,0.5,2023-12-04 04:37:16.048437,2023-12-04 04:37:37.416379,0 days 00:00:21.367942,7.664430779214589e-05,RMSprop,PRUNED
23,0.5,2023-12-04 04:37:37.417378,2023-12-04 04:37:58.993025,0 days 00:00:21.575647,2.5570166064963227e-05,RMSprop,PRUNED
24,0.5,2023-12-04 04:37:58.993025,2023-12-04 04:38:20.462436,0 days 00:00:21.469411,2.040192671156857e-05,RMSprop,PRUNED
25,0.505,2023-12-04 04:38:20.462436,2023-12-04 04:38:42.021079,0 days 00:00:21.558643,8.693674281197784e-05,Adam,PRUNED
26,0.52,2023-12-04 04:38:42.021079,2023-12-04 04:39:10.478450,0 days 00:00:28.457371,2.1405588501560532e-05,RMSprop,PRUNED
27,0.505,2023-12-04 04:39:10.478450,2023-12-04 04:39:38.951352,0 days 00:00:28.472902,6.148527433362141e-05,RMSprop,PRUNED
28,0.5,2023-12-04 04:39:38.951352,2023-12-04 04:40:00.062626,0 days 00:00:21.111274,1.0757151540875293e-05,SGD,PRUNED
29,0.53,2023-12-04 04:40:00.063625,2023-12-04 04:45:57.303395,0 days 00:05:57.239770,0.00013347045049199636,Adam,COMPLETE
30,0.58,2023-12-04 04:45:57.304393,2023-12-04 04:51:50.953247,0 days 00:05:53.648854,3.3897385696932526e-05,RMSprop,COMPLETE
31,0.57,2023-12-04 04:51:50.954246,2023-12-04 04:57:43.353168,0 days 00:05:52.398922,3.922012738332944e-05,RMSprop,COMPLETE
32,0.6,2023-12-04 04:57:43.354167,2023-12-04 05:03:35.823837,0 days 00:05:52.469670,2.2208218761554226e-05,RMSprop,COMPLETE
33,0.5,2023-12-04 05:03:35.824837,2023-12-04 05:04:04.075277,0 days 00:00:28.250440,0.00020675632893090644,RMSprop,PRUNED
34,0.515,2023-12-04 05:04:04.075277,2023-12-04 05:04:32.559792,0 days 00:00:28.484515,9.680100398975118e-05,RMSprop,PRUNED
35,0.505,2023-12-04 05:04:32.560792,2023-12-04 05:05:01.186216,0 days 00:00:28.625424,5.3313337350891894e-05,RMSprop,PRUNED
36,0.605,2023-12-04 05:05:01.186216,2023-12-04 05:10:53.490162,0 days 00:05:52.303946,2.8562452741259557e-05,RMSprop,COMPLETE
37,0.65,2023-12-04 05:10:53.491162,2023-12-04 05:16:45.685038,0 days 00:05:52.193876,1.71903735673968e-05,RMSprop,COMPLETE
38,0.5,2023-12-04 05:16:45.686037,2023-12-04 05:17:07.255215,0 days 00:00:21.569178,1.8514304810421836e-05,RMSprop,PRUNED
39,0.5,2023-12-04 05:17:07.255215,2023-12-04 05:17:28.502963,0 days 00:00:21.247748,1.748940346155874e-05,SGD,PRUNED
40,0.51,2023-12-04 05:17:28.503962,2023-12-04 05:18:11.043270,0 days 00:00:42.539308,2.6902919936111955e-05,RMSprop,PRUNED
41,0.535,2023-12-04 05:18:11.044216,2023-12-04 05:24:03.614041,0 days 00:05:52.569825,4.9906402510077e-05,RMSprop,COMPLETE
42,0.505,2023-12-04 05:24:03.614041,2023-12-04 05:24:25.090221,0 days 00:00:21.476180,1.5404810934108272e-05,RMSprop,PRUNED
43,0.59,2023-12-04 05:24:25.091221,2023-12-04 05:30:16.268063,0 days 00:05:51.176842,2.9698500127346644e-05,RMSprop,COMPLETE
44,0.515,2023-12-04 05:30:16.269063,2023-12-04 05:30:59.064391,0 days 00:00:42.795328,2.9008336577302806e-05,RMSprop,PRUNED
45,0.5,2023-12-04 05:30:59.064391,2023-12-04 05:31:20.450736,0 days 00:00:21.386345,1.5060489380038927e-05,SGD,PRUNED
46,0.5,2023-12-04 05:31:20.450736,2023-12-04 05:31:41.667890,0 days 00:00:21.217154,0.0002535947675249772,RMSprop,PRUNED
47,0.5,2023-12-04 05:31:41.668889,2023-12-04 05:32:03.031206,0 days 00:00:21.362317,1.027437850900986e-05,RMSprop,PRUNED
48,0.51,2023-12-04 05:32:03.031206,2023-12-04 05:32:31.462467,0 days 00:00:28.431261,0.00011344876751650288,RMSprop,PRUNED
49,0.505,2023-12-04 05:32:31.462467,2023-12-04 05:32:52.560786,0 days 00:00:21.098319,7.118895386706975e-05,RMSprop,PRUNED
50,0.5,2023-12-04 05:32:52.561786,2023-12-04 05:33:13.812931,0 days 00:00:21.251145,0.0001303038068871323,SGD,PRUNED
51,0.53,2023-12-04 05:33:13.812931,2023-12-04 05:33:42.222852,0 days 00:00:28.409921,4.5647761936931224e-05,RMSprop,PRUNED
52,0.54,2023-12-04 05:33:42.223851,2023-12-04 05:34:31.655105,0 days 00:00:49.431254,2.7916480565839992e-05,RMSprop,PRUNED
53,0.545,2023-12-04 05:34:31.655105,2023-12-04 05:35:14.004843,0 days 00:00:42.349738,6.090492141306691e-05,RMSprop,PRUNED
54,0.54,2023-12-04 05:35:14.005843,2023-12-04 05:36:03.359100,0 days 00:00:49.353257,3.8352468071145985e-05,RMSprop,PRUNED
55,0.535,2023-12-04 05:36:03.359100,2023-12-04 05:36:45.923238,0 days 00:00:42.564138,1.550006005942319e-05,RMSprop,PRUNED
56,0.5,2023-12-04 05:36:45.924238,2023-12-04 05:37:14.112232,0 days 00:00:28.187994,2.431942930161322e-05,RMSprop,PRUNED
57,0.615,2023-12-04 05:37:14.112232,2023-12-04 05:43:06.382888,0 days 00:05:52.270656,3.514294207209634e-05,RMSprop,COMPLETE
58,0.515,2023-12-04 05:43:06.382888,2023-12-04 05:43:34.576099,0 days 00:00:28.193211,1.2764882247512568e-05,RMSprop,PRUNED
59,0.6,2023-12-04 05:43:34.576099,2023-12-04 05:49:26.372117,0 days 00:05:51.796018,3.219785094592048e-05,RMSprop,COMPLETE
60,0.53,2023-12-04 05:49:26.373115,2023-12-04 05:49:54.697868,0 days 00:00:28.324753,9.453433929804524e-05,RMSprop,PRUNED
61,0.51,2023-12-04 05:49:54.698867,2023-12-04 05:50:44.043695,0 days 00:00:49.344828,2.9329949110162475e-05,RMSprop,PRUNED
62,0.5,2023-12-04 05:50:44.044694,2023-12-04 05:51:05.273579,0 days 00:00:21.228885,1.8808617822782253e-05,RMSprop,PRUNED
63,0.535,2023-12-04 05:51:05.273579,2023-12-04 05:51:47.651969,0 days 00:00:42.378390,3.879305669639073e-05,RMSprop,PRUNED
64,0.505,2023-12-04 05:51:47.651969,2023-12-04 05:52:16.182695,0 days 00:00:28.530726,2.2965676067157153e-05,RMSprop,PRUNED
65,0.525,2023-12-04 05:52:16.182695,2023-12-04 05:58:10.275616,0 days 00:05:54.092921,6.476133428873725e-05,Adam,COMPLETE
66,0.53,2023-12-04 05:58:10.276617,2023-12-04 05:58:52.948128,0 days 00:00:42.671511,1.290560008779721e-05,RMSprop,PRUNED
67,0.6,2023-12-04 05:58:52.949127,2023-12-04 06:04:45.833942,0 days 00:05:52.884815,3.223272062572994e-05,RMSprop,COMPLETE
68,0.5,2023-12-04 06:04:45.834942,2023-12-04 06:05:07.567845,0 days 00:00:21.732903,4.647499510984794e-05,SGD,PRUNED
69,0.625,2023-12-04 06:05:07.567845,2023-12-04 06:10:59.548285,0 days 00:05:51.980440,1.9540154150096536e-05,RMSprop,COMPLETE
