number,value,datetime_start,datetime_complete,duration,params_alpha,params_gamma,params_lr,params_step_size,state
0,0.67985,2024-01-31 10:35:51.807027,2024-01-31 11:05:13.860369,0 days 00:29:22.053342,0.1615403613974044,0.04074456447519388,0.005799310882258546,891.7356765631209,COMPLETE
1,0.4672,2024-01-31 11:05:13.861205,2024-01-31 11:09:28.350564,0 days 00:04:14.489359,0.3544791135692913,0.5255118127408062,0.0008997343463001617,2793.8792210531674,PRUNED
2,0.5,2024-01-31 11:09:28.351026,2024-01-31 11:13:42.161563,0 days 00:04:13.810537,0.08849562567006784,0.28744884333001397,0.07914534101822647,900.0967879786273,PRUNED
3,0.75535,2024-01-31 11:13:42.162016,2024-01-31 11:43:06.709623,0 days 00:29:24.547607,0.10057050701869354,0.1427997778173194,0.005662688958529444,1256.7969904609702,COMPLETE
4,0.49635,2024-01-31 11:43:06.710245,2024-01-31 11:55:45.851489,0 days 00:12:39.141244,0.32420366842007386,0.013585856021454014,0.0024766164966741368,2239.005540689472,PRUNED
5,0.84835,2024-01-31 11:55:45.851927,2024-01-31 12:25:15.353477,0 days 00:29:29.501550,0.09139304407423869,0.041269567783813556,0.0003459637611658143,347.4662635159763,COMPLETE
6,0.63145,2024-01-31 12:25:15.354100,2024-01-31 12:54:41.348298,0 days 00:29:25.994198,0.15190609812324204,0.07056076898034223,0.0007232746177711688,1295.557594214953,COMPLETE
7,0.8349,2024-01-31 12:54:41.348946,2024-01-31 13:24:10.125706,0 days 00:29:28.776760,0.0930637623670789,0.011453231108726498,0.0028540148139604795,345.6875685731426,COMPLETE
8,0.7054,2024-01-31 13:24:10.126274,2024-01-31 13:28:22.164136,0 days 00:04:12.037862,0.05117356172256097,0.05530186749649374,0.004087692433805636,2068.5407478776756,PRUNED
9,0.72285,2024-01-31 13:28:22.164520,2024-01-31 13:57:56.064788,0 days 00:29:33.900268,0.1270878518569797,0.024092113883055995,0.0003635294109007997,426.8567480539997,COMPLETE
10,0.7163,2024-01-31 13:57:56.065358,2024-01-31 14:02:16.085707,0 days 00:04:20.020349,0.05458920226770897,0.12635209558344543,0.00011045452821595207,513.0309534661118,PRUNED
11,0.68185,2024-01-31 14:02:16.086108,2024-01-31 14:06:38.487814,0 days 00:04:22.401706,0.08333242717654064,0.01190931869637369,0.0001321502460227878,303.0118745773227,PRUNED
12,0.7208,2024-01-31 14:06:38.488208,2024-01-31 14:10:59.619944,0 days 00:04:21.131736,0.06935802100865922,0.025743467610612684,0.0014996122686608733,304.8301240052399,PRUNED
13,0.69735,2024-01-31 14:10:59.620362,2024-01-31 14:40:46.218928,0 days 00:29:46.598566,0.11639688320824522,0.023162018311299163,0.0003225046246180164,526.543123165913,COMPLETE
14,0.5793,2024-01-31 14:40:46.219490,2024-01-31 14:44:58.682287,0 days 00:04:12.462797,0.07246667278629429,0.010924076708457289,0.014748944037982346,417.5182214704882,PRUNED
15,0.60115,2024-01-31 14:44:58.682678,2024-01-31 14:49:11.580033,0 days 00:04:12.897355,0.1967326220682802,0.040588749099144776,0.0003701472959300268,644.9248267733723,PRUNED
16,0.8275,2024-01-31 14:49:11.580416,2024-01-31 15:18:43.203706,0 days 00:29:31.623290,0.09883668376942134,0.01837125297765439,0.0013654131074943702,367.19159124976386,COMPLETE
17,0.66465,2024-01-31 15:18:43.204320,2024-01-31 15:22:57.237251,0 days 00:04:14.032931,0.06620384418603824,0.010703039029427285,0.00963861874942938,644.0297785803587,PRUNED
18,0.66245,2024-01-31 15:22:57.237642,2024-01-31 15:27:11.429376,0 days 00:04:14.191734,0.22078629279532289,0.08506920198016804,0.002027108309327165,302.92201483343143,PRUNED
19,0.61945,2024-01-31 15:27:11.429776,2024-01-31 15:31:25.214271,0 days 00:04:13.784495,0.1165841188007527,0.034808284354621126,0.0006665665671614927,386.3571924945992,PRUNED
20,0.41655,2024-01-31 15:31:25.214656,2024-01-31 15:35:36.945951,0 days 00:04:11.731295,0.49714925316487385,0.01615362561610321,0.00020868522911821283,549.5557961158756,PRUNED
21,0.72405,2024-01-31 15:35:36.946344,2024-01-31 15:39:51.579683,0 days 00:04:14.633339,0.09568170311207634,0.019086074137237126,0.0011649071588157726,407.6587310014396,PRUNED
22,0.72645,2024-01-31 15:39:51.580062,2024-01-31 15:44:03.349249,0 days 00:04:11.769187,0.07917366855429595,0.018298877957532312,0.002259176638986972,362.5133272959343,PRUNED
23,0.8326,2024-01-31 15:44:03.349654,2024-01-31 16:13:28.720030,0 days 00:29:25.370376,0.09982140595454361,0.031075193709739705,0.0006127110419429896,357.22921224019893,COMPLETE
24,0.906,2024-01-31 16:13:28.720638,2024-01-31 16:42:57.748217,0 days 00:29:29.027579,0.06283022023462476,0.03214522740465342,0.0007553457502692824,474.071440834474,COMPLETE
